Order ID,Product ID,Customer ID,Order Date,Sales,Profit,Quantity,Discount
CA-2014-AB10015140-41954,TEC-PH-5816,AB-100151402,11-11-2014,221,62,2,0.0
IN-2014-JR162107-41675,FUR-CH-5379,JR-162107,05-02-2014,3709,-288,9,0.1
IN-2014-CR127307-41929,TEC-PH-5356,CR-127307,17-10-2014,5175,919,9,0.1
ES-2014-KM1637548-41667,TEC-PH-5267,KM-1637548,28-01-2014,2892,-96,5,0.1
SG-2014-RH9495111-41948,TEC-CO-6011,RH-9495111,05-11-2014,2832,311,8,0.0
IN-2014-JM156557-41818,TEC-PH-5842,JM-156557,28-06-2014,2862,763,5,0.1
IN-2012-TS2134092-41219,FUR-CH-5378,TS-2134092,06-11-2012,1822,564,4,0.0
IN-2013-MB1808592-41378,FUR-TA-3764,MB-1808592,14-04-2013,5244,996,6,0.0
CA-2014-AB10015140-41954,FUR-BO-5957,AB-100151402,11-11-2014,341,54,2,0.0
CA-2012-AB10015140-40974,FUR-CH-4421,AB-100151404,06-03-2012,48,5,1,0.2
CA-2012-AB10015140-40974,OFF-AR-5309,AB-100151404,06-03-2012,17,4,3,0.0
ID-2013-AJ107801-41383,FUR-TA-3420,AJ-107801,19-04-2013,4626,647,5,0.0
SA-2012-MM7260110-41269,TEC-PH-3807,MM-7260110,26-12-2012,2616,1151,4,0.0
MX-2013-VF2171518-41591,FUR-CH-4530,VF-2171518,13-11-2013,2221,622,7,0.0
IN-2014-PF1912027-41796,OFF-AP-4959,PF-1912027,06-06-2014,3701,1036,12,0.0
ES-2015-BP1118545-42216,OFF-AP-3575,BP-1118545,31-07-2015,1869,186,4,0.1
CA-2012-AB10015140-40958,OFF-ST-3078,AB-100151402,19-02-2012,12,-2,2,0.2
ES-2015-PJ1883564-42255,OFF-AP-4743,PJ-1883564,08-09-2015,7958,3979,14,0.0
IN-2015-JS156857-42035,TEC-CO-3597,JS-156857,31-01-2015,2565,28,9,0.1
TZ-2015-RH9555129-42343,OFF-AP-4967,RH-9555129,05-12-2015,3409,818,6,0.0
