Order Date,order year,order month
11-11-2014,2014,11
05-02-2014,2014,2
17-10-2014,2014,10
28-01-2014,2014,1
05-11-2014,2014,11
28-06-2014,2014,6
06-11-2012,2012,11
14-04-2013,2013,4
11-11-2014,2014,11
06-03-2012,2012,3
06-03-2012,2012,3
19-04-2013,2013,4
26-12-2012,2012,12
13-11-2013,2013,11
06-06-2014,2014,6
31-07-2015,2015,7
19-02-2012,2012,2
08-09-2015,2015,9
31-01-2015,2015,1
05-12-2015,2015,12
08-08-2013,2013,8
06-03-2012,2012,3
01-05-2012,2012,5
27-02-2014,2014,2
31-07-2015,2015,7
05-09-2015,2015,9
16-12-2012,2012,12
13-03-2012,2012,3
21-04-2012,2012,4
24-02-2013,2013,2
27-12-2012,2012,12
17-07-2013,2013,7
27-12-2013,2013,12
02-11-2012,2012,11
27-12-2013,2013,12
13-09-2012,2012,9
12-05-2012,2012,5
30-12-2012,2012,12
14-01-2015,2015,1
10-01-2012,2012,1
22-08-2014,2014,8
11-11-2015,2015,11
26-09-2015,2015,9
13-12-2013,2013,12
22-09-2012,2012,9
21-03-2014,2014,3
08-03-2014,2014,3
28-08-2015,2015,8
01-05-2015,2015,5
18-12-2015,2015,12
24-10-2012,2012,10
18-09-2015,2015,9
30-12-2012,2012,12
16-12-2012,2012,12
18-12-2014,2014,12
30-05-2013,2013,5
21-04-2012,2012,4
25-05-2013,2013,5
05-08-2015,2015,8
12-05-2012,2012,5
11-03-2015,2015,3
19-12-2015,2015,12
11-08-2015,2015,8
31-08-2014,2014,8
18-01-2015,2015,1
03-01-2015,2015,1
07-12-2015,2015,12
16-12-2015,2015,12
20-11-2015,2015,11
08-11-2012,2012,11
07-06-2014,2014,6
21-11-2012,2012,11
29-03-2014,2014,3
26-08-2015,2015,8
20-09-2013,2013,9
16-05-2015,2015,5
02-08-2015,2015,8
24-11-2014,2014,11
08-11-2012,2012,11
27-10-2012,2012,10
19-11-2015,2015,11
28-10-2015,2015,10
26-09-2014,2014,9
05-09-2015,2015,9
29-01-2014,2014,1
18-09-2013,2013,9
23-11-2014,2014,11
13-06-2013,2013,6
28-10-2014,2014,10
12-12-2014,2014,12
25-05-2013,2013,5
